state,player,mcts_distribution
"[[[1. 0. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [1. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 1. 0.]]

 [[0. 0. 0. 0. 0. 1. 1.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 1. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0. 1. 1.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0. 1. 1.]
  [0. 0. 0. 1. 1. 0. 0.]]]",1,"[('0001', 0.3333333333333333), ('0002', 0.3333333333333333), ('0004', 0.3333333333333333), ('0101', 0.0), ('0102', 0.0), ('0104', 0.0), ('0105', 0.0), ('0106', 0.0), ('0200', 0.0), ('0204', 0.0), ('0205', 0.0), ('0206', 0.0), ('0302', 0.0), ('0304', 0.0), ('0402', 0.0), ('0403', 0.0), ('0405', 0.0), ('0406', 0.0), ('0601', 0.0), ('0602', 0.0), ('0606', 0.0)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 1. 1. 0. 0. 1.]
  [0. 0. 0. 0. 1. 0. 0.]]]",1,"[('0000', 0.03807615230460922), ('0001', 0.006012024048096192), ('0002', 0.008016032064128256), ('0003', 0.006012024048096192), ('0004', 0.012024048096192385), ('0005', 0.07014028056112225), ('0006', 0.018036072144288578), ('0100', 0.008016032064128256), ('0101', 0.008016032064128256), ('0102', 0.01603206412825651), ('0104', 0.008016032064128256), ('0105', 0.028056112224448898), ('0106', 0.006012024048096192), ('0200', 0.04609218436873747), ('0202', 0.008016032064128256), ('0204', 0.012024048096192385), ('0205', 0.008016032064128256), ('0206', 0.04609218436873747), ('0301', 0.012024048096192385), ('0302', 0.012024048096192385), ('0304', 0.08016032064128256), ('0306', 0.04408817635270541), ('0400', 0.05811623246492986), ('0402', 0.012024048096192385), ('0403', 0.018036072144288578), ('0405', 0.012024048096192385), ('0406', 0.03807615230460922), ('0500', 0.04609218436873747), ('0501', 0.05410821643286573), ('0504', 0.10020040080160321), ('0505', 0.012024048096192385), ('0600', 0.07014028056112225), ('0601', 0.01603206412825651), ('0602', 0.018036072144288578), ('0603', 0.022044088176352707), ('0605', 0.004008016032064128), ('0606', 0.018036072144288578)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 1. 1. 0. 0. 1.]
  [0. 0. 0. 1. 1. 0. 0.]]]",-1,"[('0000', 0.006012024048096192), ('0001', 0.006012024048096192), ('0002', 0.08216432865731463), ('0003', 0.03406813627254509), ('0004', 0.022044088176352707), ('0005', 0.012024048096192385), ('0006', 0.022044088176352707), ('0100', 0.02004008016032064), ('0101', 0.05410821643286573), ('0102', 0.056112224448897796), ('0104', 0.06212424849699399), ('0105', 0.006012024048096192), ('0106', 0.01603206412825651), ('0200', 0.012024048096192385), ('0202', 0.01603206412825651), ('0204', 0.026052104208416832), ('0205', 0.006012024048096192), ('0206', 0.006012024048096192), ('0301', 0.022044088176352707), ('0302', 0.006012024048096192), ('0304', 0.022044088176352707), ('0306', 0.012024048096192385), ('0400', 0.022044088176352707), ('0402', 0.06813627254509018), ('0403', 0.03406813627254509), ('0405', 0.006012024048096192), ('0406', 0.006012024048096192), ('0500', 0.07014028056112225), ('0501', 0.08216432865731463), ('0505', 0.04609218436873747), ('0601', 0.006012024048096192), ('0602', 0.05410821643286573), ('0605', 0.04008016032064128), ('0606', 0.03807615230460922)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 1. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0. 1. 1.]
  [0. 0. 0. 1. 1. 0. 0.]]]",1,"[('0000', 0.02214022140221402), ('0001', 0.014760147601476014), ('0002', 0.02214022140221402), ('0003', 0.08118081180811808), ('0004', 0.033210332103321034), ('0005', 0.014760147601476014), ('0006', 0.02214022140221402), ('0100', 0.04059040590405904), ('0101', 0.04797047970479705), ('0102', 0.033210332103321034), ('0104', 0.014760147601476014), ('0105', 0.02214022140221402), ('0106', 0.04059040590405904), ('0200', 0.014760147601476014), ('0202', 0.04797047970479705), ('0204', 0.014760147601476014), ('0205', 0.055350553505535055), ('0206', 0.014760147601476014), ('0301', 0.07749077490774908), ('0302', 0.014760147601476014), ('0304', 0.02214022140221402), ('0306', 0.033210332103321034), ('0400', 0.02214022140221402), ('0402', 0.04797047970479705), ('0403', 0.02214022140221402), ('0405', 0.04797047970479705), ('0406', 0.014760147601476014), ('0500', 0.08118081180811808), ('0601', 0.02214022140221402), ('0602', 0.02214022140221402), ('0606', 0.014760147601476014)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.006012024048096192), ('0001', 0.014028056112224449), ('0002', 0.03206412825651302), ('0003', 0.05410821643286573), ('0004', 0.01603206412825651), ('0005', 0.022044088176352707), ('0006', 0.006012024048096192), ('0100', 0.01002004008016032), ('0101', 0.022044088176352707), ('0102', 0.03006012024048096), ('0104', 0.01603206412825651), ('0105', 0.006012024048096192), ('0106', 0.026052104208416832), ('0200', 0.01002004008016032), ('0202', 0.014028056112224449), ('0203', 0.04609218436873747), ('0204', 0.03206412825651302), ('0205', 0.014028056112224449), ('0206', 0.022044088176352707), ('0300', 0.006012024048096192), ('0301', 0.028056112224448898), ('0302', 0.026052104208416832), ('0304', 0.028056112224448898), ('0306', 0.026052104208416832), ('0400', 0.014028056112224449), ('0402', 0.050100200400801605), ('0403', 0.014028056112224449), ('0405', 0.050100200400801605), ('0406', 0.006012024048096192), ('0500', 0.026052104208416832), ('0501', 0.01603206412825651), ('0502', 0.006012024048096192), ('0504', 0.014028056112224449), ('0505', 0.014028056112224449), ('0506', 0.06613226452905811), ('0600', 0.03206412825651302), ('0601', 0.052104208416833664), ('0602', 0.04408817635270541), ('0603', 0.01603206412825651), ('0604', 0.022044088176352707), ('0605', 0.022044088176352707), ('0606', 0.022044088176352707)]"
"[[[0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 1. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [1. 0. 0. 0. 0. 0. 1.]
  [0. 0. 0. 0. 0. 0. 0.]]]",1,"[('0000', 0.02004008016032064), ('0001', 0.018036072144288578), ('0002', 0.012024048096192385), ('0004', 0.014028056112224449), ('0005', 0.03206412825651302), ('0006', 0.018036072144288578), ('0100', 0.012024048096192385), ('0101', 0.004008016032064128), ('0103', 0.026052104208416832), ('0104', 0.05811623246492986), ('0105', 0.03406813627254509), ('0106', 0.06813627254509018), ('0200', 0.008016032064128256), ('0201', 0.008016032064128256), ('0202', 0.014028056112224449), ('0203', 0.008016032064128256), ('0204', 0.06212424849699399), ('0205', 0.02004008016032064), ('0206', 0.02404809619238477), ('0300', 0.03807615230460922), ('0301', 0.004008016032064128), ('0302', 0.026052104208416832), ('0304', 0.07214428857715431), ('0305', 0.004008016032064128), ('0306', 0.04408817635270541), ('0400', 0.02404809619238477), ('0401', 0.04008016032064128), ('0402', 0.008016032064128256), ('0403', 0.02404809619238477), ('0406', 0.014028056112224449), ('0501', 0.07014028056112225), ('0502', 0.028056112224448898), ('0503', 0.004008016032064128), ('0504', 0.026052104208416832), ('0600', 0.004008016032064128), ('0601', 0.026052104208416832), ('0602', 0.014028056112224449), ('0603', 0.028056112224448898), ('0604', 0.012024048096192385), ('0605', 0.02004008016032064), ('0606', 0.008016032064128256)]"
"[[[1. 1. 0. 1. 1. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [1. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 1. 0.]]

 [[0. 0. 0. 0. 0. 1. 1.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 1. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0. 1. 1.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0. 1. 1.]
  [0. 0. 1. 1. 1. 0. 0.]]]",-1,"[('0002', 0.05), ('0101', 0.05), ('0102', 0.05), ('0104', 0.05), ('0105', 0.05), ('0106', 0.05), ('0200', 0.05), ('0204', 0.05), ('0205', 0.05), ('0206', 0.1), ('0302', 0.05), ('0304', 0.05), ('0402', 0.05), ('0403', 0.05), ('0405', 0.1), ('0406', 0.05), ('0601', 0.05), ('0606', 0.05)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 1. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0. 0. 1.]
  [0. 0. 0. 1. 1. 0. 0.]]]",-1,"[('0000', 0.012024048096192385), ('0001', 0.012024048096192385), ('0002', 0.01603206412825651), ('0003', 0.028056112224448898), ('0004', 0.02004008016032064), ('0005', 0.006012024048096192), ('0006', 0.012024048096192385), ('0100', 0.04208416833667335), ('0101', 0.012024048096192385), ('0102', 0.07214428857715431), ('0104', 0.012024048096192385), ('0105', 0.02004008016032064), ('0106', 0.012024048096192385), ('0200', 0.012024048096192385), ('0202', 0.03807615230460922), ('0204', 0.04008016032064128), ('0205', 0.01002004008016032), ('0206', 0.012024048096192385), ('0301', 0.012024048096192385), ('0302', 0.01002004008016032), ('0304', 0.036072144288577156), ('0306', 0.02004008016032064), ('0400', 0.11022044088176353), ('0402', 0.036072144288577156), ('0403', 0.03406813627254509), ('0405', 0.012024048096192385), ('0406', 0.06012024048096192), ('0500', 0.01603206412825651), ('0505', 0.20240480961923848), ('0601', 0.028056112224448898), ('0602', 0.006012024048096192), ('0606', 0.028056112224448898)]"
"[[[0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 1. 0. 1. 0. 0. 0.]
  [1. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [1. 0. 0. 0. 0. 1. 0.]]

 [[0. 0. 0. 0. 0. 1. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 1. 1. 1. 0. 1. 1.]
  [0. 0. 0. 1. 1. 0. 0.]]]",1,"[('0000', 0.01680672268907563), ('0001', 0.06722689075630252), ('0002', 0.03361344537815126), ('0004', 0.0546218487394958), ('0006', 0.025210084033613446), ('0100', 0.08403361344537816), ('0101', 0.01680672268907563), ('0102', 0.0546218487394958), ('0104', 0.03361344537815126), ('0105', 0.01680672268907563), ('0106', 0.025210084033613446), ('0200', 0.01680672268907563), ('0202', 0.01680672268907563), ('0204', 0.03361344537815126), ('0205', 0.03361344537815126), ('0206', 0.01680672268907563), ('0301', 0.03361344537815126), ('0302', 0.025210084033613446), ('0304', 0.025210084033613446), ('0306', 0.04201680672268908), ('0400', 0.04201680672268908), ('0402', 0.01680672268907563), ('0403', 0.04201680672268908), ('0405', 0.04201680672268908), ('0406', 0.04201680672268908), ('0500', 0.06722689075630252), ('0601', 0.03361344537815126), ('0602', 0.025210084033613446), ('0606', 0.01680672268907563)]"
"[[[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 0. 1. 0. 0. 0.]
  [0. 0. 0. 0. 1. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]

 [[0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 1. 0.]
  [0. 1. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]
  [0. 0. 0. 0. 0. 0. 0.]]]",-1,"[('0000', 0.03006012024048096), ('0001', 0.01002004008016032), ('0002', 0.006012024048096192), ('0003', 0.01002004008016032), ('0004', 0.018036072144288578), ('0005', 0.006012024048096192), ('0006', 0.02404809619238477), ('0100', 0.03406813627254509), ('0101', 0.018036072144288578), ('0102', 0.02004008016032064), ('0103', 0.018036072144288578), ('0104', 0.04809619238476954), ('0105', 0.02004008016032064), ('0106', 0.006012024048096192), ('0200', 0.028056112224448898), ('0202', 0.06012024048096192), ('0203', 0.04208416833667335), ('0204', 0.056112224448897796), ('0205', 0.006012024048096192), ('0206', 0.02404809619238477), ('0300', 0.028056112224448898), ('0301', 0.006012024048096192), ('0302', 0.018036072144288578), ('0304', 0.01002004008016032), ('0306', 0.014028056112224449), ('0400', 0.006012024048096192), ('0402', 0.03006012024048096), ('0403', 0.014028056112224449), ('0405', 0.02004008016032064), ('0406', 0.026052104208416832), ('0500', 0.026052104208416832), ('0501', 0.02404809619238477), ('0502', 0.006012024048096192), ('0503', 0.08617234468937876), ('0504', 0.006012024048096192), ('0505', 0.05410821643286573), ('0506', 0.006012024048096192), ('0600', 0.01002004008016032), ('0601', 0.01002004008016032), ('0602', 0.04208416833667335), ('0603', 0.006012024048096192), ('0604', 0.03006012024048096), ('0605', 0.026052104208416832), ('0606', 0.01002004008016032)]"
