state,player,mcts_distribution
"[1, 2, 3, 4]",1,"[('1000', 0.034482758620689655), ('0100', 0.034482758620689655), ('0200', 0.3275862068965517), ('0010', 0.034482758620689655), ('0020', 0.034482758620689655), ('0030', 0.06896551724137931), ('0001', 0.13793103448275862), ('0002', 0.034482758620689655), ('0003', 0.08620689655172414), ('0004', 0.20689655172413793)]"
"[1, 0, 3, 4]",-1,"[('1000', 0.030303030303030304), ('0010', 0.3333333333333333), ('0020', 0.12121212121212122), ('0030', 0.21212121212121213), ('0001', 0.09090909090909091), ('0002', 0.15151515151515152), ('0003', 0.030303030303030304), ('0004', 0.030303030303030304)]"
"[1, 0, 2, 4]",1,"[('1000', 0.1794871794871795), ('0010', 0.23076923076923078), ('0020', 0.1794871794871795), ('0001', 0.07692307692307693), ('0002', 0.05128205128205128), ('0003', 0.1794871794871795), ('0004', 0.10256410256410256)]"
"[1, 0, 1, 4]",-1,"[('1000', 0.10526315789473684), ('0010', 0.05263157894736842), ('0001', 0.15789473684210525), ('0002', 0.10526315789473684), ('0003', 0.5263157894736842), ('0004', 0.05263157894736842)]"
"[1, 0, 1, 1]",1,"[('1000', 0.3333333333333333), ('0010', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 0, 1, 1]",-1,"[('0010', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.05660377358490566), ('0100', 0.05660377358490566), ('0200', 0.16981132075471697), ('0010', 0.05660377358490566), ('0020', 0.16981132075471697), ('0030', 0.20754716981132076), ('0001', 0.05660377358490566), ('0002', 0.11320754716981132), ('0003', 0.05660377358490566), ('0004', 0.05660377358490566)]"
"[1, 2, 0, 4]",-1,"[('1000', 0.11320754716981132), ('0100', 0.18867924528301888), ('0200', 0.05660377358490566), ('0001', 0.4339622641509434), ('0002', 0.09433962264150944), ('0003', 0.018867924528301886), ('0004', 0.09433962264150944)]"
"[1, 2, 0, 3]",1,"[('1000', 0.47058823529411764), ('0100', 0.058823529411764705), ('0200', 0.058823529411764705), ('0001', 0.14705882352941177), ('0002', 0.20588235294117646), ('0003', 0.058823529411764705)]"
"[0, 2, 0, 3]",-1,"[('0100', 0.5), ('0200', 0.1), ('0001', 0.1), ('0002', 0.1), ('0003', 0.2)]"
"[0, 1, 0, 3]",1,"[('0100', 0.3333333333333333), ('0001', 0.3333333333333333), ('0002', 0.16666666666666666), ('0003', 0.16666666666666666)]"
"[1, 2, 3, 4]",1,"[('1000', 0.06914893617021277), ('0100', 0.015957446808510637), ('0200', 0.0851063829787234), ('0010', 0.047872340425531915), ('0020', 0.09574468085106383), ('0030', 0.047872340425531915), ('0001', 0.2872340425531915), ('0002', 0.015957446808510637), ('0003', 0.2074468085106383), ('0004', 0.1276595744680851)]"
"[1, 2, 3, 3]",-1,"[('1000', 0.03076923076923077), ('0100', 0.07692307692307693), ('0200', 0.2), ('0010', 0.26153846153846155), ('0020', 0.06153846153846154), ('0030', 0.03076923076923077), ('0001', 0.1076923076923077), ('0002', 0.16923076923076924), ('0003', 0.06153846153846154)]"
"[1, 2, 2, 3]",1,"[('1000', 0.04081632653061224), ('0100', 0.30612244897959184), ('0200', 0.08163265306122448), ('0010', 0.04081632653061224), ('0020', 0.04081632653061224), ('0001', 0.12244897959183673), ('0002', 0.04081632653061224), ('0003', 0.32653061224489793)]"
"[1, 2, 2, 0]",-1,"[('1000', 0.1111111111111111), ('0100', 0.1111111111111111), ('0200', 0.5555555555555556), ('0010', 0.1111111111111111), ('0020', 0.1111111111111111)]"
"[1, 0, 2, 0]",1,"[('1000', 0.3333333333333333), ('0010', 0.3333333333333333), ('0020', 0.3333333333333333)]"
"[1, 2, 3, 4]",1,"[('1000', 0.01507537688442211), ('0100', 0.32160804020100503), ('0200', 0.135678391959799), ('0010', 0.10050251256281408), ('0020', 0.05527638190954774), ('0030', 0.06030150753768844), ('0001', 0.10050251256281408), ('0002', 0.04522613065326633), ('0003', 0.1407035175879397), ('0004', 0.02512562814070352)]"
"[1, 1, 3, 4]",-1,"[('1000', 0.054878048780487805), ('0100', 0.054878048780487805), ('0010', 0.18292682926829268), ('0020', 0.09146341463414634), ('0030', 0.07926829268292683), ('0001', 0.018292682926829267), ('0002', 0.3597560975609756), ('0003', 0.09146341463414634), ('0004', 0.06707317073170732)]"
"[1, 1, 3, 2]",1,"[('1000', 0.06153846153846154), ('0100', 0.5230769230769231), ('0010', 0.06153846153846154), ('0020', 0.03076923076923077), ('0030', 0.13846153846153847), ('0001', 0.03076923076923077), ('0002', 0.15384615384615385)]"
"[1, 0, 3, 2]",-1,"[('1000', 0.1111111111111111), ('0010', 0.1111111111111111), ('0020', 0.1111111111111111), ('0030', 0.4444444444444444), ('0001', 0.1111111111111111), ('0002', 0.1111111111111111)]"
